player,player_id,team_id,reset_throws,reset_aec,reset_aec_per_throw,avg_reset_cp,avg_reset_yards
Jason Vallee,jvallee,spiders,62,-2.864226655516127,-0.04619720412122786,0.9811138315606637,-5.412258064516129
Adam McNichols,amcnichol,steel,63,-2.935128851211616,-0.04658934684462883,0.9822276812361433,-4.390317460317461
Xavier Fuzat,xfuzat,havoc,98,-4.5671188460661565,-0.04660325353128731,0.9820238758323849,-5.589591836734694
Sean Mott,smott,breeze,82,-3.836170116570553,-0.04678256239720186,0.9763649368099755,-5.705365853658537
Robin Vickers Batzdorf,rvickersb,spiders,36,-1.686755765345342,-0.04685432681514839,0.9827668099019858,-3.785555555555556
Itay Chang,ichang,spiders,38,-1.7968084207502875,-0.04728443212500757,0.981500913252082,-5.359473684210527
Ben Thoennes,bthoennes,steel,51,-2.420154362356605,-0.04745400710503147,0.9818365314868203,-5.48078431372549
Jonathan Mast,jmast,alleycats,57,-2.707719903412489,-0.047503857954605065,0.972878792702936,-5.123684210526316
Arthur Carne,acarne,radicals,31,-1.483632731594534,-0.047859120374017225,0.9742957893405867,-6.240967741935484
Max Devine,mdevine,union,54,-2.598808064003595,-0.04812607525932583,0.9814035007788727,-6.237037037037037
Jakob Brissette,jbrissett,royal,55,-2.660031088140871,-0.048364201602561295,0.9847261082364713,-4.780363636363637
Zach Singer,zsinger,glory,42,-2.041124494691933,-0.04859820225456984,0.9645070709267836,-4.204999999999999
Jimmy Zuraw,jzuraw,havoc,66,-3.2252204294351223,-0.04886697620356246,0.9841312139585295,-6.047878787878788
Camden Mah,cmah,bighorns,69,-3.383335531255899,-0.049033848279071,0.9846947126344124,-4.5807246376811595
Marc Munoz,mmunoz,cascades,35,-1.7224261609541125,-0.04921217602726036,0.9858114606040745,-5.030285714285713
Eugene L'Heureux,elheureux,shred,25,-1.2414580534048412,-0.049658322136193644,0.984700198296624,-4.982
Anton Orme,aorme,spiders,28,-1.3950007274872305,-0.049821454553115374,0.978815788514574,-5.486428571428571
Mikey O'Brien,mobrien2,cascades,27,-1.3534979708576125,-0.05012955447620787,0.9832971289237689,-7.18148148148148
Sam Stark,sstark,radicals,39,-1.9646799157314108,-0.0503764080956772,0.9751126298009081,-7.346666666666669
Ben Ashton,bashton,shred,65,-3.277422914350443,-0.05042189099000682,0.9829543129344072,-5.39276923076923
Raekwon Adkins,radkins,spiders,30,-1.5129825384230766,-0.05043275128076922,0.9835517190489134,-5.7509999999999994
Hunter May,hmay,apex,26,-1.3192910724858091,-0.05074196432637727,0.982146073594849,-4.878076923076923
Evan Bembenista,ebembenis,rush,39,-1.9813004968755894,-0.05080257684296383,0.9844399998051611,-5.361025641025642
Walker Matthews,wmatthews,flyers,40,-2.0394326332482056,-0.050985815831205136,0.9788420298274308,-6.351500000000001
Braden Eberhard,beberhard,empire,68,-3.4902253473954032,-0.05132684334405005,0.9802270652151975,-6.536470588235294
Christian Belus,cbelus,flyers,31,-1.5935705385343721,-0.051405501243044265,0.965994352877242,-4.910322580645162
Lukas Ambrose,lambrose,windchill,39,-2.005213967318832,-0.05141574275176492,0.9796266402371129,-5.176410256410256
Benjamin Sadok,bsadok,glory,40,-2.08663374615651,-0.05216584365391275,0.9819316283562456,-5.28525
Jimmy Towle,jtowle,thunderbirds,31,-1.6177113878213887,-0.05218423831681899,0.981229645469226,-6.284838709677419
Reid Duncan,rduncan,thunderbirds,45,-2.3574399323367143,-0.052387554051926986,0.9799394681009554,-5.954888888888889
Christian Boxley,cboxley,breeze,60,-3.143501602775587,-0.05239169337959312,0.9778925584663551,-6.811833333333333
Matt Russnogle,mrussnogl,shred,34,-1.7821609036846302,-0.05241649716719501,0.9814164687457619,-5.80735294117647
Kelsen Alexander,kalexande,radicals,32,-1.6802423037714065,-0.05250757199285645,0.9765822065091845,-5.3959375
Sofiène Bontemps,sbontemps,alleycats,38,-1.996474568296101,-0.05253880442884476,0.9789242541654619,-6.602368421052631
Will Turner,wturner,growlers,30,-1.5839722946275665,-0.05279907648758555,0.9782043282526806,-3.567666666666667
James Shorey,jshorey,bighorns,44,-2.3241578462785166,-0.05282176923360265,0.9852813141033923,-5.933181818181817
Victor Luo,vluo,radicals,27,-1.4351135100737131,-0.05315235222495234,0.9783908282105985,-6.7162962962962975
Nicholas DiGiorgio,ndigiorgi,phoenix,39,-2.090026692920154,-0.05359042802359369,0.9788344902567866,-5.726410256410256
Zac Scheuerman,zscheuerm,steel,38,-2.0396956392242953,-0.0536762010322183,0.9814156117255992,-5.29078947368421
Gabe Dowd,gdowd,breeze,35,-1.8789125411821865,-0.05368321546234819,0.9778626305117826,-5.865142857142857
Ben Lewis,blewis,havoc,36,-1.940587360597944,-0.053905204461054,0.9758707746581403,-7.740277777777777
Mark Baldauf,mbaldauf,havoc,41,-2.219617835337824,-0.05413702037409327,0.9801090990850381,-6.050487804878049
Miles  Grovic,mgrovic,breeze,33,-1.7959356650462748,-0.05442229288019015,0.9758469223707097,-6.561515151515152
Noah Furrh,nfurrh,havoc,49,-2.672095735414629,-0.05453256602886997,0.9825652974791032,-6.869591836734694
Orion Cable,ocable,glory,28,-1.5320195386855398,-0.05471498352448356,0.9803638916242792,-6.122857142857143
Archer Gordon,agordon,steel,39,-2.1374032584326303,-0.05480521175468283,0.9702786411301344,-5.887435897435898
Xavier Payne,xpayne,alleycats,39,-2.1533280367013905,-0.05521353940259976,0.9785463125087523,-6.377692307692308
Michael Finke,mfinke,union,51,-2.8245317269272525,-0.055382975037789266,0.9837771220028452,-6.267843137254903
Chris Wilson,cwilson,bighorns,35,-1.9854703774079592,-0.056727725068798834,0.980379668362679,-5.722285714285714
Oscar Graff,ograff,glory,84,-4.771656396446962,-0.056805433291035254,0.9807828228060503,-5.4714285714285715
Bryan Vohnoutka,bvohnoutk,windchill,38,-2.16593099275785,-0.05699818401994342,0.9839585965862087,-5.407368421052632
Tobe Decraene,tdecraene,glory,127,-7.346678292097776,-0.05784786056769902,0.9814372658374257,-6.264015748031496
