type,line,time,puller,pullX,pullY,pullMs,thrower,throwerX,throwerY,receiver,receiverX,receiverY,defender,turnoverX,turnoverY,team_side
18,,,,,,,gmckee,-10.06,44.0,ostonehou,-22.9,59.31,,,,home
3,"['ostonehou', 'rpoloz', 'aodonnell', 'ckennedy', 'aturcotte', 'gmckee', 'lcomire']",603.0,,,,,,,,,,,,,,home
18,,,,,,,lcomire,-22.9,59.31,aturcotte,-16.51,77.5,,,,home
18,,,,,,,aturcotte,-16.51,77.5,ostonehou,-24.54,93.43,,,,home
19,,,,,,,ostonehou,-24.54,93.43,aturcotte,-19.6,111.76,,,,home
1,"['amuraoka', 'kjay', 'lcomire', 'dmiller2', 'bklar', 'asehgal', 'ktong']",613.0,,,,,,,,,,,,,,home
7,,,amuraoka,0.24,105.78,5880.0,,,,,,,,,,home
11,,,,,,,,,,,,,dmiller2,,,home
18,,,,,,,lcomire,26.66,19.77,dmiller2,19.73,70.29,,,,home
18,,,,,,,dmiller2,19.73,70.29,kjay,13.35,64.66,,,,home
18,,,,,,,kjay,13.35,64.66,asehgal,11.97,59.31,,,,home
22,,,,,,,asehgal,11.97,59.31,,,,,16.91,82.72,home
11,,,,,,,,,,,,,kjay,,,home
30,,,,,,,,,,,,,,,,home
2,"['ostonehou', 'rcarvalho', 'rpoloz', 'aodonnell', 'ckennedy', 'aturcotte', 'gmckee']",0.0,,,,,,,,,,,,,,home
18,,,,,,,aodonnell,-12.81,11.87,aturcotte,-3.06,20.11,,,,home
18,,,,,,,aturcotte,-3.06,20.11,rpoloz,-11.71,32.6,,,,home
18,,,,,,,rpoloz,-11.71,32.6,aodonnell,-16.17,33.98,,,,home
18,,,,,,,aodonnell,-16.17,33.98,aturcotte,-23.17,44.48,,,,home
18,,,,,,,aturcotte,-23.17,44.48,gmckee,-7.8,47.78,,,,home
18,,,,,,,gmckee,-7.8,47.78,rcarvalho,1.68,54.3,,,,home
18,,,,,,,rcarvalho,1.68,54.3,aturcotte,-2.3,57.39,,,,home
18,,,,,,,aturcotte,-2.3,57.39,ostonehou,-19.26,65.62,,,,home
18,,,,,,,ostonehou,-19.26,65.62,aodonnell,-5.87,63.56,,,,home
18,,,,,,,aodonnell,-5.87,63.56,aturcotte,-15.55,74.55,,,,home
18,,,,,,,aturcotte,-15.55,74.55,rcarvalho,0.44,74.27,,,,home
18,,,,,,,rcarvalho,0.44,74.27,rpoloz,11.01,81.0,,,,home
19,,,,,,,rpoloz,11.01,81.0,ckennedy,11.56,104.27,,,,home
1,"['amuraoka', 'kjay', 'ktong', 'lcomire', 'dmiller2', 'bklar', 'asehgal']",64.0,,,,,,,,,,,,,,home
7,,,amuraoka,9.5,106.61,4095.0,,,,,,,,,,home
16,,,,,,,,,,,,,,,,home
15,,,,,,,,,,,,,,,,home
2,"['ostonehou', 'rcarvalho', 'rpoloz', 'aodonnell', 'ckennedy', 'aturcotte', 'gmckee']",124.0,,,,,,,,,,,,,,home
18,,,,,,,aodonnell,-11.57,11.87,aturcotte,-5.26,21.28,,,,home
18,,,,,,,aturcotte,-5.26,21.28,ostonehou,6.48,29.93,,,,home
18,,,,,,,ostonehou,6.48,29.93,aturcotte,10.33,42.35,,,,home
18,,,,,,,aturcotte,10.33,42.35,ostonehou,-0.31,38.3,,,,home
18,,,,,,,ostonehou,-0.31,38.3,gmckee,-17.2,40.98,,,,home
22,,,,,,,gmckee,-17.2,40.98,,,,,-26.26,52.44,home
17,,,,,,,,,,,,,,,,home
15,,,,,,,,,,,,,,,,home
2,"['amuraoka', 'kjay', 'ktong', 'lcomire', 'dmiller2', 'bklar', 'asehgal']",199.0,,,,,,,,,,,,,,home
18,,,,,,,lcomire,-10.61,20.18,asehgal,1.54,23.61,,,,home
18,,,,,,,asehgal,1.54,23.61,lcomire,-13.7,28.42,,,,home
18,,,,,,,lcomire,-13.7,28.42,amuraoka,-16.38,54.3,,,,home
18,,,,,,,amuraoka,-16.38,54.3,kjay,-0.11,44.21,,,,home
18,,,,,,,kjay,-0.11,44.21,lcomire,19.52,44.0,,,,home
18,,,,,,,lcomire,19.52,44.0,asehgal,12.8,68.99,,,,home
18,,,,,,,asehgal,12.8,68.99,dmiller2,21.24,78.05,,,,home
18,,,,,,,dmiller2,21.24,78.05,asehgal,18.56,89.1,,,,home
24,,,,,,,asehgal,18.56,89.1,,,,,,,home
11,,,,,,,,,,,,,lcomire,,,home
18,,,,,,,lcomire,-1.27,70.36,dmiller2,0.65,76.68,,,,home
18,,,,,,,dmiller2,0.65,76.68,asehgal,9.23,91.57,,,,home
25,"['amuraoka', 'kjay', 'ktong', 'lcomire', 'bklar', 'asehgal', 'ostonehou']",284.0,,,,,,,,,,,,,,home
18,,,,,,,asehgal,9.23,91.57,amuraoka,-5.46,86.7,,,,home
18,,,,,,,amuraoka,-5.46,86.7,ostonehou,-14.87,94.66,,,,home
18,,,,,,,ostonehou,-14.87,94.66,kjay,-1.48,82.44,,,,home
